Type,First Name,Date,Title/Description,Location,Image,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Vaka and Sarah from Stingray Tattoo,2014,No Title,Virginia and Maple,http://www.reno.gov/Home/ShowImage?id=6189&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Colby Stephens,2014,Mondrian: City Planner,Lake and 2nd,http://www.reno.gov/Home/ShowImage?id=6156&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Arteclettica,2008,The Kiss,Virginia and Mill,http://www.reno.gov/Home/ShowImage?id=6200&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Rodney Herrera,2008,Rodeo Bull,4th and Vine,http://www.reno.gov/Home/ShowImage?id=6276&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Rodney Herrera,2008,Air Races,4th and Sierra,no image,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Rodney Herrera,2008,Man in Desert,4th and Ralston,http://www.reno.gov/Home/ShowImage?id=6272&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Devin Hosselkus,2008,Continued Mural - People/River,Virginia & 1st Street,http://www.reno.gov/Home/ShowImage?id=6202&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Devin Hosselkus,2008,Reno Arches,Sierra & 5th,http://www.reno.gov/Home/ShowImage?id=6206&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Devin Hosselkus,2008,People/ River - Small,West and Commercial,http://www.reno.gov/Home/ShowImage?id=6204&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Bryce Chisholm,2014,Soulshine,Virginia & 2nd Street,http://www.reno.gov/Home/ShowImage?id=6194&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Mahsan Ghazianzad,2014,Fly Away,Sierra & 6th,http://www.reno.gov/Home/ShowImage?id=6162&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Kelly Peyton,2014,Look Up,Center and Plaza,http://www.reno.gov/Home/ShowImage?id=6160&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Ann O'Lear,2008,Poker Table,Virginia and Commercial,http://www.reno.gov/Home/ShowImage?id=6198&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Michael Lucido,2014,No Title,Arlington and 1st,http://www.reno.gov/Home/ShowImage?id=6193&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Pan Pantoja,2014,Taking Apart a Summer,Lake and East 1st,http://www.reno.gov/Home/ShowImage?id=6191&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Larissa Sokolova,2008,Skateboarder,7th St between Virginia & Center,http://www.reno.gov/Home/ShowImage?id=6278&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Larissa Sokolova,2008,Couple overlooking Water,Sierra & 6th,http://www.reno.gov/Home/ShowImage?id=6280&t,,,,,,,,,,,,,,,,,,,,
Traffic Signals Boxes,Larissa Sokolova,2008,Bank,Liberty and Virginia,no image,,,,,,,,,,,,,,,,,,,,
